sid,A,B,C,D,Vth,out_mult,out_log
1,8,8,5,5,41,0,0
1,8,8,5,5,42,0,0
1,8,8,5,5,43,0,0
1,8,8,5,5,44,0,0
1,8,8,5,5,45,0,0
1,8,8,5,5,46,0,0
1,8,8,5,5,47,0,0
1,8,8,5,5,48,0,0
1,8,8,5,5,49,0,0
1,8,8,5,5,50,0,0
1,8,8,5,5,51,0,0
1,8,8,5,5,52,0,0
1,8,8,5,5,53,0,0
1,8,8,5,5,54,0,0
1,8,8,5,5,55,0,0
1,8,8,5,5,56,0,0
1,8,8,5,5,57,0,0
1,8,8,5,5,58,0,0
1,8,8,5,5,59,0,0
1,8,8,5,5,60,0,0
1,8,8,5,5,61,0,0
1,8,8,5,5,62,0,0
1,8,8,5,5,63,0,0
1,8,8,5,5,64,0,0
1,8,8,5,5,65,0,0
1,8,8,5,5,66,0,0
1,8,8,5,5,67,0,0
1,8,8,5,5,68,0,0
1,8,8,5,5,69,0,0
1,8,8,5,5,70,0,0
1,8,8,5,5,71,0,0
1,8,8,5,5,72,0,0
1,8,8,5,5,73,0,0
1,8,8,5,5,74,0,0
1,8,8,5,5,75,0,0
1,8,8,5,5,76,0,0
1,8,8,5,5,77,0,0
1,8,8,5,5,78,0,0
1,8,8,5,5,79,0,0
1,8,8,5,5,80,0,0
1,8,8,5,5,81,0,0
1,8,8,5,5,82,0,0
1,8,8,5,5,83,0,0
1,8,8,5,5,84,0,0
1,8,8,5,5,85,0,0
1,8,8,5,5,86,0,0
1,8,8,5,5,87,0,0
1,8,8,5,5,88,0,0
1,8,8,5,5,89,0,0
1,8,8,5,5,90,0,0
1,8,8,5,5,91,0,0
1,8,8,5,5,92,0,0
1,8,8,5,5,93,0,0
1,8,8,5,5,94,0,0
1,8,8,5,5,95,0,0
1,8,8,5,5,96,0,0
1,8,8,5,5,97,0,0
1,8,8,5,5,98,0,0
1,8,8,5,5,99,0,0
1,8,8,5,5,100,0,0
1,8,8,5,5,101,0,0
1,8,8,5,5,102,0,0
1,8,8,5,5,103,0,0
1,8,8,5,5,104,0,0
1,8,8,5,5,105,0,0
1,8,8,5,5,106,0,0
1,8,8,5,5,107,0,0
1,8,8,5,5,108,0,0
1,8,8,5,5,109,0,0
1,8,8,5,5,110,0,0
1,8,8,5,5,111,0,0
1,8,8,5,5,112,0,0
1,8,8,5,5,113,0,0
1,8,8,5,5,114,0,0
1,8,8,5,5,115,0,0
1,8,8,5,5,116,0,0
1,8,8,5,5,117,0,0
1,8,8,5,5,118,0,0
1,8,8,5,5,119,0,0
1,8,8,5,5,120,0,0
1,8,8,5,5,121,0,0
1,8,8,5,5,122,0,0
1,8,8,5,5,123,0,0
1,8,8,5,5,124,0,0
1,8,8,5,5,125,0,0
1,8,8,5,5,126,0,0
1,8,8,5,5,127,0,0
1,8,8,5,5,128,0,0
1,8,8,5,5,129,0,0
1,8,8,5,5,130,0,0
1,8,8,5,5,131,0,0
1,8,8,5,5,132,0,0
1,8,8,5,5,133,0,0
1,8,8,5,5,134,0,0
1,8,8,5,5,135,0,0
1,8,8,5,5,136,0,0
1,8,8,5,5,137,0,0
1,8,8,5,5,138,0,0
1,8,8,5,5,139,0,0
1,8,8,5,5,140,0,0
1,8,8,5,5,141,0,0
1,8,8,5,5,142,0,0
1,8,8,5,5,143,0,0
1,8,8,5,5,144,0,0
1,8,8,5,5,145,0,0
1,8,8,5,5,146,0,0
1,8,8,5,5,147,0,0
1,8,8,5,5,148,0,0
1,8,8,5,5,149,0,0
1,8,8,5,5,150,0,0
1,8,8,5,5,151,0,0
1,8,8,5,5,152,0,0
1,8,8,5,5,153,0,0
1,8,8,5,5,154,0,0
1,8,8,5,5,155,0,0
1,8,8,5,5,156,0,0
1,8,8,5,5,157,0,0
1,8,8,5,5,158,0,0
2,50,50,20,20,0,1,1
2,50,50,20,20,21,1,1
2,50,50,20,20,42,1,1
2,50,50,20,20,63,1,1
2,50,50,20,20,84,1,1
2,50,50,20,20,105,1,1
2,50,50,20,20,126,1,1
2,50,50,20,20,147,1,1
2,50,50,20,20,168,1,1
2,50,50,20,20,189,1,1
2,50,50,20,20,210,1,1
2,50,50,20,20,231,1,1
2,50,50,20,20,252,1,1
2,50,50,20,20,273,1,1
2,50,50,20,20,294,1,1
2,50,50,20,20,315,1,1
2,50,50,20,20,336,1,1
2,50,50,20,20,357,1,1
2,50,50,20,20,378,1,1
2,50,50,20,20,399,1,1
2,50,50,20,20,420,1,1
2,50,50,20,20,441,1,1
2,50,50,20,20,462,1,1
2,50,50,20,20,483,1,1
2,50,50,20,20,504,1,1
2,50,50,20,20,525,1,1
2,50,50,20,20,546,1,1
2,50,50,20,20,567,1,1
2,50,50,20,20,588,1,1
2,50,50,20,20,609,1,1
2,50,50,20,20,630,1,1
2,50,50,20,20,651,1,1
2,50,50,20,20,672,1,1
2,50,50,20,20,693,1,1
2,50,50,20,20,714,1,1
2,50,50,20,20,735,1,1
2,50,50,20,20,756,1,1
2,50,50,20,20,777,1,1
2,50,50,20,20,798,1,1
2,50,50,20,20,819,1,1
2,50,50,20,20,840,1,1
2,50,50,20,20,861,1,1
2,50,50,20,20,882,1,1
2,50,50,20,20,903,1,1
2,50,50,20,20,924,1,1
2,50,50,20,20,945,1,1
2,50,50,20,20,966,1,1
2,50,50,20,20,987,1,1
2,50,50,20,20,1008,1,1
2,50,50,20,20,1029,1,1
2,50,50,20,20,1050,1,1
2,50,50,20,20,1071,1,1
2,50,50,20,20,1092,1,1
2,50,50,20,20,1113,1,1
2,50,50,20,20,1134,1,1
2,50,50,20,20,1155,1,1
2,50,50,20,20,1176,1,1
2,50,50,20,20,1197,1,1
2,50,50,20,20,1218,1,1
2,50,50,20,20,1239,1,1
2,50,50,20,20,1260,1,1
2,50,50,20,20,1281,1,1
2,50,50,20,20,1302,1,1
2,50,50,20,20,1323,1,1
2,50,50,20,20,1344,1,1
2,50,50,20,20,1365,1,1
2,50,50,20,20,1386,1,1
2,50,50,20,20,1407,1,1
2,50,50,20,20,1428,1,1
2,50,50,20,20,1449,1,1
2,50,50,20,20,1470,1,1
2,50,50,20,20,1491,1,1
2,50,50,20,20,1512,1,1
2,50,50,20,20,1533,1,1
2,50,50,20,20,1554,1,1
2,50,50,20,20,1575,1,1
2,50,50,20,20,1596,1,1
2,50,50,20,20,1617,1,1
2,50,50,20,20,1638,1,1
2,50,50,20,20,1659,1,1
2,50,50,20,20,1680,1,1
2,50,50,20,20,1701,1,1
2,50,50,20,20,1722,1,1
2,50,50,20,20,1743,1,1
2,50,50,20,20,1762,1,1
2,50,50,20,20,1763,1,1
2,50,50,20,20,1764,1,1
2,50,50,20,20,1765,1,1
2,50,50,20,20,1766,1,1
2,50,50,20,20,1767,1,1
2,50,50,20,20,1768,1,1
2,50,50,20,20,1769,1,1
2,50,50,20,20,1770,1,1
2,50,50,20,20,1771,1,1
2,50,50,20,20,1772,1,1
2,50,50,20,20,1773,1,1
2,50,50,20,20,1774,1,1
2,50,50,20,20,1775,1,1
2,50,50,20,20,1776,1,1
2,50,50,20,20,1777,1,1
2,50,50,20,20,1778,1,1
2,50,50,20,20,1779,1,1
2,50,50,20,20,1780,1,1
2,50,50,20,20,1781,1,1
2,50,50,20,20,1782,1,1
2,50,50,20,20,1783,1,1
2,50,50,20,20,1784,1,1
2,50,50,20,20,1785,1,1
2,50,50,20,20,1786,1,1
2,50,50,20,20,1787,1,1
2,50,50,20,20,1788,1,1
2,50,50,20,20,1789,1,1
2,50,50,20,20,1790,1,1
2,50,50,20,20,1791,1,1
2,50,50,20,20,1792,1,0
