Vth,p1_AB,p2_CD,sM_exact,outM,x_log2AB,y_log2CD,sL_logsum,outL
872,750,480,1230,1,9.25,8.75,10,1
874,750,480,1230,1,9.25,8.75,10,1
876,750,480,1230,1,9.25,8.75,10,1
878,750,480,1230,1,9.25,8.75,10,1
880,750,480,1230,1,9.25,8.75,10,1
882,750,480,1230,1,9.25,8.75,10,1
884,750,480,1230,1,9.25,8.75,10,1
886,750,480,1230,1,9.25,8.75,10,1
888,750,480,1230,1,9.25,8.75,10,1
890,750,480,1230,1,9.25,8.75,10,1
892,750,480,1230,1,9.25,8.75,10,1
894,750,480,1230,1,9.25,8.75,10,1
896,750,480,1230,1,9.25,8.75,10,1
898,750,480,1230,1,9.25,8.75,10,1
900,750,480,1230,1,9.25,8.75,10,1
902,750,480,1230,1,9.25,8.75,10,1
904,750,480,1230,1,9.25,8.75,10,1
906,750,480,1230,1,9.25,8.75,10,1
908,750,480,1230,1,9.25,8.75,10,1
910,750,480,1230,1,9.25,8.75,10,1
912,750,480,1230,1,9.25,8.75,10,1
914,750,480,1230,1,9.25,8.75,10,1
916,750,480,1230,1,9.25,8.75,10,1
918,750,480,1230,1,9.25,8.75,10,1
920,750,480,1230,1,9.25,8.75,10,1
922,750,480,1230,1,9.25,8.75,10,1
924,750,480,1230,1,9.25,8.75,10,1
926,750,480,1230,1,9.25,8.75,10,1
928,750,480,1230,1,9.25,8.75,10,1
930,750,480,1230,1,9.25,8.75,10,1
932,750,480,1230,1,9.25,8.75,10,1
934,750,480,1230,1,9.25,8.75,10,1
936,750,480,1230,1,9.25,8.75,10,1
938,750,480,1230,1,9.25,8.75,10,1
940,750,480,1230,1,9.25,8.75,10,1
942,750,480,1230,1,9.25,8.75,10,1
944,750,480,1230,1,9.25,8.75,10,1
946,750,480,1230,1,9.25,8.75,10,1
948,750,480,1230,1,9.25,8.75,10,1
950,750,480,1230,1,9.25,8.75,10,1
952,750,480,1230,1,9.25,8.75,10,1
954,750,480,1230,1,9.25,8.75,10,1
956,750,480,1230,1,9.25,8.75,10,1
958,750,480,1230,1,9.25,8.75,10,1
960,750,480,1230,1,9.25,8.75,10,1
962,750,480,1230,1,9.25,8.75,10,1
964,750,480,1230,1,9.25,8.75,10,1
966,750,480,1230,1,9.25,8.75,10,1
968,750,480,1230,1,9.25,8.75,10,1
970,750,480,1230,1,9.25,8.75,10,1
972,750,480,1230,1,9.25,8.75,10,1
974,750,480,1230,1,9.25,8.75,10,1
976,750,480,1230,1,9.25,8.75,10,1
978,750,480,1230,1,9.25,8.75,10,1
980,750,480,1230,1,9.25,8.75,10,1
982,750,480,1230,1,9.25,8.75,10,1
984,750,480,1230,1,9.25,8.75,10,1
986,750,480,1230,1,9.25,8.75,10,1
988,750,480,1230,1,9.25,8.75,10,1
990,750,480,1230,1,9.25,8.75,10,1
992,750,480,1230,1,9.25,8.75,10,1
994,750,480,1230,1,9.25,8.75,10,1
996,750,480,1230,1,9.25,8.75,10,1
998,750,480,1230,1,9.25,8.75,10,1
1000,750,480,1230,1,9.25,8.75,10,1
1002,750,480,1230,1,9.25,8.75,10,1
1004,750,480,1230,1,9.25,8.75,10,1
1006,750,480,1230,1,9.25,8.75,10,1
1008,750,480,1230,1,9.25,8.75,10,1
1010,750,480,1230,1,9.25,8.75,10,1
1012,750,480,1230,1,9.25,8.75,10,1
1014,750,480,1230,1,9.25,8.75,10,1
1016,750,480,1230,1,9.25,8.75,10,1
1018,750,480,1230,1,9.25,8.75,10,1
1020,750,480,1230,1,9.25,8.75,10,1
1022,750,480,1230,1,9.25,8.75,10,1
1024,750,480,1230,1,9.25,8.75,10,0
1026,750,480,1230,1,9.25,8.75,10,0
1028,750,480,1230,1,9.25,8.75,10,0
1030,750,480,1230,1,9.25,8.75,10,0
1032,750,480,1230,1,9.25,8.75,10,0
1034,750,480,1230,1,9.25,8.75,10,0
1036,750,480,1230,1,9.25,8.75,10,0
1038,750,480,1230,1,9.25,8.75,10,0
1040,750,480,1230,1,9.25,8.75,10,0
1042,750,480,1230,1,9.25,8.75,10,0
1044,750,480,1230,1,9.25,8.75,10,0
1046,750,480,1230,1,9.25,8.75,10,0
1048,750,480,1230,1,9.25,8.75,10,0
1050,750,480,1230,1,9.25,8.75,10,0
1052,750,480,1230,1,9.25,8.75,10,0
1054,750,480,1230,1,9.25,8.75,10,0
1056,750,480,1230,1,9.25,8.75,10,0
1058,750,480,1230,1,9.25,8.75,10,0
1060,750,480,1230,1,9.25,8.75,10,0
1062,750,480,1230,1,9.25,8.75,10,0
1064,750,480,1230,1,9.25,8.75,10,0
1066,750,480,1230,1,9.25,8.75,10,0
1068,750,480,1230,1,9.25,8.75,10,0
1070,750,480,1230,1,9.25,8.75,10,0
1072,750,480,1230,1,9.25,8.75,10,0
1074,750,480,1230,1,9.25,8.75,10,0
1076,750,480,1230,1,9.25,8.75,10,0
1078,750,480,1230,1,9.25,8.75,10,0
1080,750,480,1230,1,9.25,8.75,10,0
1082,750,480,1230,1,9.25,8.75,10,0
1084,750,480,1230,1,9.25,8.75,10,0
1086,750,480,1230,1,9.25,8.75,10,0
1088,750,480,1230,1,9.25,8.75,10,0
1090,750,480,1230,1,9.25,8.75,10,0
1092,750,480,1230,1,9.25,8.75,10,0
1094,750,480,1230,1,9.25,8.75,10,0
1096,750,480,1230,1,9.25,8.75,10,0
1098,750,480,1230,1,9.25,8.75,10,0
1100,750,480,1230,1,9.25,8.75,10,0
1102,750,480,1230,1,9.25,8.75,10,0
1104,750,480,1230,1,9.25,8.75,10,0
1106,750,480,1230,1,9.25,8.75,10,0
1108,750,480,1230,1,9.25,8.75,10,0
1110,750,480,1230,1,9.25,8.75,10,0
1112,750,480,1230,1,9.25,8.75,10,0
1114,750,480,1230,1,9.25,8.75,10,0
1116,750,480,1230,1,9.25,8.75,10,0
1118,750,480,1230,1,9.25,8.75,10,0
1120,750,480,1230,1,9.25,8.75,10,0
1122,750,480,1230,1,9.25,8.75,10,0
1124,750,480,1230,1,9.25,8.75,10,0
1126,750,480,1230,1,9.25,8.75,10,0
1128,750,480,1230,1,9.25,8.75,10,0
1130,750,480,1230,1,9.25,8.75,10,0
1132,750,480,1230,1,9.25,8.75,10,0
1134,750,480,1230,1,9.25,8.75,10,0
1136,750,480,1230,1,9.25,8.75,10,0
1138,750,480,1230,1,9.25,8.75,10,0
1140,750,480,1230,1,9.25,8.75,10,0
1142,750,480,1230,1,9.25,8.75,10,0
1144,750,480,1230,1,9.25,8.75,10,0
1146,750,480,1230,1,9.25,8.75,10,0
1148,750,480,1230,1,9.25,8.75,10,0
1150,750,480,1230,1,9.25,8.75,10,0
1152,750,480,1230,1,9.25,8.75,10,0
1154,750,480,1230,1,9.25,8.75,10,0
1156,750,480,1230,1,9.25,8.75,10,0
1158,750,480,1230,1,9.25,8.75,10,0
1160,750,480,1230,1,9.25,8.75,10,0
1162,750,480,1230,1,9.25,8.75,10,0
1164,750,480,1230,1,9.25,8.75,10,0
